"","Year","election_type","link","Date"
"1","2021","General","https://results.vote.wa.gov/results/20211102/",2021-11-02
"2","2021","Primary","https://results.vote.wa.gov/results/20210803/",2021-08-03
"3","2021","Special Election","https://results.vote.wa.gov/results/20210427/",2021-04-27
"4","2021","Special Election","https://results.vote.wa.gov/results/20210209/",2021-02-09
"5","2020","General","https://results.vote.wa.gov/results/20201103/",2020-11-03
"6","2020","Primary","https://results.vote.wa.gov/results/20200804/",2020-08-04
"7","2020","Special Election","https://results.vote.wa.gov/results/20200428/",2020-04-28
"9","2020","Special Election","https://results.vote.wa.gov/results/20200211/",2020-02-11
"10","2019","General","https://results.vote.wa.gov/results/20191105/",2019-11-05
"11","2019","Primary","https://results.vote.wa.gov/results/20190806/",2019-08-06
"12","2019","Special Election","https://results.vote.wa.gov/results/20190423/",2019-04-23
"13","2019","Special Election","https://results.vote.wa.gov/results/20190212/",2019-02-12
"14","2018","General","https://results.vote.wa.gov/results/20181106/",2018-11-06
"15","2018","Primary","https://results.vote.wa.gov/results/20180807/",2018-08-07
"16","2018","Special Election","https://results.vote.wa.gov/results/20180424/",2018-04-24
"17","2018","Special Election","https://results.vote.wa.gov/results/20180213/",2018-02-13
"18","2017","General","https://results.vote.wa.gov/results/20171107/",2017-11-07
"19","2017","Primary","https://results.vote.wa.gov/results/20170801/",2017-08-01
"20","2017","Special Election","https://results.vote.wa.gov/results/20170425/",2017-04-25
"21","2017","Special Election","https://results.vote.wa.gov/results/20170214/",2017-02-14
"22","2016","General","https://results.vote.wa.gov/results/20161108/",2016-11-08
"23","2016","Primary","https://results.vote.wa.gov/results/20160802/",2016-08-02
"25","2016","Special Election","https://results.vote.wa.gov/results/20160426/",2016-04-26
"26","2016","Special Election","https://results.vote.wa.gov/results/20160209/",2016-02-09
"27","2015","General","https://results.vote.wa.gov/results/20151103/",2015-11-03
"28","2015","Primary","https://results.vote.wa.gov/results/20150804/",2015-08-04
"29","2015","Special Election","https://results.vote.wa.gov/results/20150428/",2015-04-28
"30","2015","Special Election","https://results.vote.wa.gov/results/20150210/",2015-02-10
"31","2014","General","https://results.vote.wa.gov/results/20141104/",2014-11-04
"32","2014","Primary","https://results.vote.wa.gov/results/20140805/",2014-08-05
"33","2014","Special Election","https://results.vote.wa.gov/results/20140422/",2014-04-22
"34","2014","Special Election","https://results.vote.wa.gov/results/20140211/",2014-02-11
"35","2013","General","https://results.vote.wa.gov/results/20131105/",2013-11-05
"36","2013","Primary","https://results.vote.wa.gov/results/20130806/",2013-08-06
"37","2013","Special Election","https://results.vote.wa.gov/results/20130423/",2013-04-23
"38","2013","Special Election","https://results.vote.wa.gov/results/20130212/",2013-02-12
"39","2012","General","https://results.vote.wa.gov/results/20121106/",2012-11-06
"40","2012","Primary","https://results.vote.wa.gov/results/20120807/",2012-08-07
"41","2012","Special Election","https://results.vote.wa.gov/results/20120417/",2012-04-17
"42","2012","Special Election","https://results.vote.wa.gov/results/20120214/",2012-02-14
"43","2011","General","https://results.vote.wa.gov/results/20111108/",2011-11-08
"44","2011","Primary","https://results.vote.wa.gov/results/20110816/",2011-08-16
"45","2011","Special Election","https://results.vote.wa.gov/results/20110517/",2011-05-17
"46","2011","Special Election","https://results.vote.wa.gov/results/20110426/",2011-04-26
"47","2011","Special Election","https://results.vote.wa.gov/results/20110208/",2011-02-08
"48","2010","General","https://results.vote.wa.gov/results/20101102/",2010-11-02
"49","2010","Primary","https://results.vote.wa.gov/results/20100817/",2010-08-17
"50","2010","Special Election","https://results.vote.wa.gov/results/20100518/",2010-05-18
"51","2010","Special Election","https://results.vote.wa.gov/results/20100427/",2010-04-27
"52","2010","Special Election","https://results.vote.wa.gov/results/20100209/",2010-02-09
"53","2009","General","https://results.vote.wa.gov/results/20091103/",2009-11-03
"54","2009","Primary","https://results.vote.wa.gov/results/20090818/",2009-08-18
"55","2009","Special Election","https://results.vote.wa.gov/results/20090519/",2009-05-19
"56","2009","Special Election","https://results.vote.wa.gov/results/20090428/",2009-04-28
"57","2009","Special Election","https://results.vote.wa.gov/results/20090310/",2009-03-10
"58","2009","Special Election","https://results.vote.wa.gov/results/20090203/",2009-02-03
"59","2008","General","https://results.vote.wa.gov/results/20081104/",2008-11-04
"60","2008","Primary","https://results.vote.wa.gov/results/20080819/",2008-08-19
"61","2008","Special Election","https://results.vote.wa.gov/results/20080520/",2008-05-20
"62","2008","Special Election","https://results.vote.wa.gov/results/20080422/",2008-04-22
"63","2008","Special Election","https://results.vote.wa.gov/results/20080311/",2008-03-11
"65","2007","General","https://results.vote.wa.gov/results/20071106/",2007-11-06
